Word,IDF
speluzzi,3.0
обозначать,1.443697
нужно,1.522879
prix,1.408935
дэнни,2.39794
минута,1.537602
bahasa,1.091515
заводский,3.0
сообщество,1.017729
cc,1.040959
nederlands,1.09691
столкновение,1.60206
мир,1.119186
уолт,2.69897
энди,2.09691
квалификация,1.259637
анри,2.522879
использование,1.022276
остальной,1.522879
разыгрываться,2.154902
категория,1.045757
гонзалес,2.221849
кантрелл,2.69897
пьеро,2.09691
обсуждение,1.017729
поделить,2.522879
удаваться,1.537602
англ,1.091515
отк,1.552842
личный,1.251812
magyar,1.124939
останавливать,1.537602
белый,1.251812
български,1.173925
rosier,2.522879
дандрод,2.69897
марри,2.522879
представляться,1.022276
форум,1.017729
из-за,1.251812
трансмиссия,2.154902
фора,2.69897
empire,2.69897
впервые,1.455932
клэдис,2.522879
число,1.167491
вмешиваться,2.69897
отрываться,2.221849
парнелл,2.522879
этап,1.236572
пауль,2.522879
акер,3.0
italia,2.0
проводить,1.275724
примечание,1.119186
май,1.180456
ecurie,2.522879
свейкерт,2.522879
американский,1.522879
brezhoneg,1.408935
доминирование,1.677781
альби,3.0
присуждаться,2.30103
wikimedia,1.045757
содержание,1.017729
xxxivth,3.0
бракко,3.0
qr,1.004365
навязывать,2.39794
раттмен,2.30103
текущий,1.022276
nottingham,3.0
приближаться,2.30103
действовать,1.045757
дск,1.49485
раймонд,2.69897
печать,1.022276
серафиня,3.0
sa,2.30103
circuit,1.920819
джонни,1.69897
формула,1.060481
побеждать,1.481486
морить,2.69897
нидерланды,1.677781
suomi,1.113509
delsaux,2.69897
джексон,2.69897
этанселен,2.522879
указание,1.036212
быстрый,1.19382
сведение,1.017729
консальво,2.69897
холланд,3.0
номер,1.468521
acf,2.69897
чисто,2.522879
статистика,1.013228
пилот,1.200659
бэнкс,2.69897
iii,2.045757
xi,2.39794
бир,2.39794
широн,2.154902
deidt,3.0
чемпионат,1.161151
automobile,3.0
дуэйн,2.522879
победа,1.236572
мотор,1.29243
вукович,2.69897
by,1.040959
классифицировать,2.0
боб,1.920819
brdc,3.0
портал,1.39794
пример,1.327902
викисклад,1.091515
инструмент,1.022276
сражаться,2.221849
швейцария,1.886057
